country_long,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,0.971980786600712,0.9757491349559252,1.00996289646531,1.05718153490629,1.03299842832055,1.02364555057226,1.04596778455517,1.08644884945052,1.02195356572593,1.04887555573041,1.0053381095460998,1.02164632918829,1.03183309057281,1.0411447920002,0.987393167382925,0.971016455310255,0.959978016817397,0.9335412011362272
Afghanistan,0.0374878650392429,0.0486708995010525,0.0570080382600792,0.0456996082249427,0.0639269698296666,0.0733929460601948,0.0870831291861248,0.158356377673251,0.211306250868557,0.297065211570221,0.407073503097594,0.335351023308404,0.263715760645502,0.2340369144237579,0.2321756312467489,0.208857195602366,0.20332756862023,0.200151071015376
Africa Western and Central,0.4741396848014699,0.474875185600127,0.4745922653759099,0.474318246383295,0.50945830203757,0.4879525095482599,0.475147837749212,0.4750245446930429,0.426769596319387,0.472819124711189,0.497022584362617,0.490866786557112,0.504655298587815,0.5076711206706189,0.480743071312896,0.4729593640183879,0.4764377689563769,0.515544238958445
Angola,0.7618428050969469,0.777423085629899,0.993848349116355,1.02835366708572,0.937036691701652,1.0094340395153198,1.1236352782253,1.1559928457501798,1.20590158910291,1.2215147407886202,1.2163169789758,1.2047988832211298,1.26154174238672,1.28536455265954,1.26092098873993,1.2277029417926002,1.03431729977182,0.8873803639083899
Albania,1.0522280929869,1.22910118288698,1.35214448140818,1.41727335767255,1.35149180454706,1.35336220283257,1.42086728796502,1.41484755272088,1.47565225025013,1.57225093811545,1.7348233079018798,1.57909199452076,1.65452427763954,1.80678854066866,1.75998705871449,1.71412617289866,1.94887203810602,1.93973156347946
Andorra,7.72154906153481,7.56624029237094,7.2424159606449905,7.344262295081969,7.35378022340277,6.790542626088031,6.531046660700031,6.4393036012401605,6.15668770201632,6.1571980012787995,5.85088599130725,5.94465405752969,5.94280054475672,5.8071276179415,6.02618183683151,6.08060029756129,6.1041339272958695,5.97340536048203
Arab World,3.2825094803969903,3.3472267977435695,3.3617277707251096,3.47423984595025,3.7042979260436497,3.80164616101133,3.883139873856939,4.0935381954936805,4.19327154821276,4.32200192749412,4.30874050686413,4.512189409484611,4.49519443939826,4.600190659035519,4.617963544634719,4.57030837009204,4.52835061157416,4.438715965413571
United Arab Emirates,29.145656219324497,28.2053795466155,27.891143450673,27.0315641070576,25.3431503532305,22.916237435313395,21.3475907811607,22.0326269069436,19.8525570618923,19.0432793083694,18.589932599199397,19.223116133525,20.0154208978824,19.9518524813163,20.9480922596993,21.307609517171,21.950614332607497,20.7974984025486
Argentina,3.34990858910446,3.1174247964060497,3.3701021737474104,3.6851842085505098,3.76212392773554,3.954453814005421,4.12329277901139,4.19534263823654,3.88906040211758,4.1222450873535195,4.29601548562594,4.277881788849,4.3598863443976095,4.216360632301759,4.31443352245988,4.22753944174089,4.0894715157252,3.987234198058899
Armenia,1.1800624515273,1.02835355322521,1.15973224102019,1.25303469339807,1.4960107498099802,1.51776306738226,1.77316149579812,1.95693033637535,1.56158352186598,1.50835119142367,1.71734336020825,1.98319210023857,1.8981271696887696,1.88160773079824,1.82529219202211,1.7267527817919202,1.80658104876105,1.88024626821933
American Samoa,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,4.532974149096,4.980970139722599,5.1695225126401105,4.97840616326683,5.03302153151162,5.31947047089403,5.474300539099599,5.62100381759843,16.0243477859885,5.566284221288201,5.71428571428571,7.96398508965014,5.136050704841,5.18571335969404,5.23666520610018,5.289885738468049,5.2397170552790095,5.50466338464095
Australia,17.769535878019898,17.9574992112521,17.692029313308602,18.1478978904379,18.117853570518,18.1206789094546,18.5028519848662,18.2830412439057,18.2074249597772,17.5814449601144,17.2681103655036,16.9692565563587,16.3986459950997,15.755876100915598,15.7864494009173,15.8720795379851,15.7386474030825,15.475516485656
Austria,8.44410916140459,8.58331713469893,9.16834402049986,9.275613726244089,9.26611381933193,8.96156938002267,8.58780201813347,8.49967361637859,7.721144201177401,8.36501501063443,8.13547478127942,7.723614414297709,7.753699576040679,7.253383781344941,7.306745265570401,7.25562651573804,7.482751479215961,7.14663762463773
